source,text,cleaned_text,created_at,retweet_count,favorite_count,is_retweet,id_str,hashtag,mention,hashtag_count,mention_count,word_count,char_count,word_density,punctuation_freq,upper_case_freq,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment,created_date,created_time,passed_closing,market_date,^GSPC,^IXIC,VGT
Twitter for iPhone,I won the debate big based on compilation of polls etc. Thank you!,debate big base compilation poll etc thank,2020-10-01 11:14:28,44961,337926,False,1311685923097260034,[],[],0,0,15,68,4.533333333333333,0.13333333333333333,0.06666666666666667,0.0,0.682,0.318,0.4199,2020-10-01,11:14:28,0,2020-10-01,0.0052789495642950775,0.014137326409649195,0.012380816025908339
Twitter for iPhone,Why would I allow the Debate Commission to change the rules for the second and third Debates when I easily won last time?,would allow debate commission change rule second third debate easily last time,2020-10-01 14:15:26,41516,247053,False,1311731462589292544,[],[],0,0,24,122,5.083333333333333,0.041666666666666664,0.08333333333333333,0.0,0.719,0.281,0.5106,2020-10-01,14:15:26,0,2020-10-01,0.0052789495642950775,0.014137326409649195,0.012380816025908339
Twitter for iPhone,THANK YOU! #MAGA https://t.co/nGfbRmfmG7,thank maga,2020-10-01 15:09:17,18014,63744,False,1311745016780460033,['#MAGA'],[],1,0,5,18,3.6,0.4,0.6,0.0,0.417,0.583,0.4199,2020-10-01,15:09:17,0,2020-10-01,0.0052789495642950775,0.014137326409649195,0.012380816025908339
Twitter for iPhone,Exclusive Excerpt--Lewandowski &amp; Bossie: ‘Trump: America First: The President Succeeds Against All Odds’ https://t.co/8NVtLK2VU9 via @BreitbartNews. Great book. Order now!,exclusive excerpt lewandowski amp bossie trump america first president succeed odds via great book order,2020-10-01 17:12:22,6407,23646,False,1311775992847818754,[],['@BreitbartNews'],0,1,30,160,5.333333333333333,0.36666666666666664,0.0,0.0,0.638,0.362,0.8439,2020-10-01,17:12:22,1,2020-10-02,-0.009623812866370861,-0.022453895648064447,-0.023292613267413758
Twitter for iPhone,RT @GreggJarrett: Corrupt Comey conveniently claims no memory of parts of FBI’s Trump-Russia ‘collusion’ probe https://t.co/HC4sAjaGZ4,corrupt comey conveniently claim no memory part fbis trump russia collusion probe,2020-10-01 17:14:12,4755,0,True,1311776453717942272,[],[],0,0,17,109,6.411764705882353,0.17647058823529413,0.058823529411764705,0.18,0.82,0.0,-0.296,2020-10-01,17:14:12,1,2020-10-02,-0.009623812866370861,-0.022453895648064447,-0.023292613267413758
Twitter for iPhone,RT @GreggJarrett: BOMBSHELL: Clinton Allegedly Approved Russiagate Falsehood As Distraction From Email Scandal https://t.co/1TqLo8rpMO,bombshell clinton allegedly approve russiagate falsehood distraction email scandal,2020-10-01 17:14:48,9675,0,True,1311776601521094656,[],[],0,0,16,113,7.0625,0.1875,0.125,0.337,0.491,0.172,-0.4019,2020-10-01,17:14:48,1,2020-10-02,-0.009623812866370861,-0.022453895648064447,-0.023292613267413758
Twitter for iPhone,RT @GreggJarrett: The Brief Podcast: New Documents Show The Russia Hoax Far Worse Than We Thought https://t.co/MVgzRZd8fm,brief podcast new document show russia hoax far worse think,2020-10-01 17:14:58,6353,0,True,1311776646492372992,[],[],0,0,19,100,5.2631578947368425,0.15789473684210525,0.05263157894736842,0.302,0.698,0.0,-0.6369,2020-10-01,17:14:58,1,2020-10-02,-0.009623812866370861,-0.022453895648064447,-0.023292613267413758
Twitter for iPhone,RT @GreggJarrett: NYT ‘Refused To Listen’ Says Trump Atty Over ‘Fake News’ Trump Tax Returns https://t.co/Egbdy9Hgo4,nyt refuse listen say trump atty fake news trump tax return,2020-10-01 17:15:12,4696,0,True,1311776703358803969,[],[],0,0,17,90,5.294117647058823,0.11764705882352941,0.11764705882352941,0.325,0.675,0.0,-0.6486,2020-10-01,17:15:12,1,2020-10-02,-0.009623812866370861,-0.022453895648064447,-0.023292613267413758
Twitter for iPhone,RT @GreggJarrett: Hunter Biden Report Bombshell: Biden Was Briefed About Son Caused Problems In Obama White House https://t.co/nwAOeej3hs,hunter biden report bombshell biden brief son cause problems obama white house,2020-10-01 17:15:25,7709,0,True,1311776757888950272,[],[],0,0,20,116,5.8,0.15,0.05,0.162,0.838,0.0,-0.4019,2020-10-01,17:15:25,1,2020-10-02,-0.009623812866370861,-0.022453895648064447,-0.023292613267413758
Twitter for iPhone,RT @GreggJarrett: Stunning revelations expose FBI’s Trump probe as dirtiest political trick in US history https://t.co/KFI0D4NHuv,stun revelations expose fbis trump probe dirtiest political trick us history,2020-10-01 17:15:37,13269,0,True,1311776809046794241,[],[],0,0,17,106,6.235294117647059,0.11764705882352941,0.11764705882352941,0.392,0.443,0.165,-0.3818,2020-10-01,17:15:37,1,2020-10-02,-0.009623812866370861,-0.022453895648064447,-0.023292613267413758
